loop,domain,checks,status,detail
1,d1_sql_surface,40,PASS,__init__.py: SQL-Oberfläche sauber
2,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
3,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
4,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
5,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
6,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
7,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
8,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
9,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
10,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
11,d1_sql_surface,40,PASS,app_paths.py: SQL-Oberfläche sauber
12,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
13,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
14,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
15,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
16,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
17,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
18,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
19,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
20,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
21,d1_sql_surface,40,PASS,backup_auth.py: SQL-Oberfläche sauber
22,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
23,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
24,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
25,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
26,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
27,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
28,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
29,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
30,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
31,d1_sql_surface,40,PASS,budget_learning.py: SQL-Oberfläche sauber
32,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
33,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
34,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
35,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
36,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
37,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
38,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
39,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
40,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
41,d1_sql_surface,40,PASS,budget_model.py: SQL-Oberfläche sauber
42,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
43,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
44,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
45,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
46,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
47,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
48,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
49,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
50,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
51,d1_sql_surface,40,PASS,budget_modes.py: SQL-Oberfläche sauber
52,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
53,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
54,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
55,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
56,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
57,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
58,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
59,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
60,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
61,d1_sql_surface,40,PASS,budget_overview_model.py: SQL-Oberfläche sauber
62,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
63,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
64,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
65,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
66,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
67,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
68,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
69,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
70,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
71,d1_sql_surface,40,PASS,budget_suggestion_engine.py: SQL-Oberfläche sauber
72,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
73,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
74,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
75,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
76,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
77,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
78,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
79,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
80,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
81,d1_sql_surface,40,PASS,budget_warnings_model_extended.py: SQL-Oberfläche sauber
82,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
83,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
84,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
85,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
