loop,domain,checks,result,detail
1,d1_release_cleaner,8,PASS,
2,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
3,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
4,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
5,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
6,d6_theme_contrast,19,PASS,dracula_dunkel.json: 
7,d7_icon_targets,1,PASS,views/account_data_hub.py: 
8,d8_scaling,1,PASS,views/account_data_hub.py: setFixedSize auf Dialog
9,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
10,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
11,d1_release_cleaner,8,PASS,
12,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
13,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
14,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
15,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
16,d6_theme_contrast,19,PASS,dunkel_blau.json: 
17,d7_icon_targets,1,PASS,views/account_management_dialog.py: 
18,d8_scaling,1,PASS,views/account_management_dialog.py: setFixedSize auf Dialog
19,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
20,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
21,d1_release_cleaner,8,PASS,
22,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
23,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
24,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
25,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
26,d6_theme_contrast,19,PASS,dunkel_grn.json: 
27,d7_icon_targets,1,PASS,views/backup_restore_dialog.py: 
28,d8_scaling,1,PASS,views/backup_restore_dialog.py: setFixedSize auf Dialog
29,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
